_	3930267
а	3826647
н	1515867
і	1244448
р	1104286
ы	1048642
с	973816
к	939998
т	912387
л	893145
е	868166
я	826794
д	798870
о	751381
м	746579
у	744644
в	710451
п	679730
ц	643889
з	625594
ь	607372
а_	593671
ў	494039
на	466599
ра	459422
б	438806
г	437869
_п	417378
і_	412432
э	397718
ка	356953
та	314891
_н	314514
ч	304300
я_	291243
ва	288369
ад	276413
ш	273020
па	270355
_с	269022
ал	266532
ар	257042
е_	249219
_а	242035
й	235696
х	229183
_з	229104
ы_	227770
ан	214944
лі	209292
ам	205797
ас	203417
ць	203367
ў_	201530
пр	201151
ла	198626
_б	197099
ь_	193618
у_	192652
ав	192585
да	191726
_па	184100
_д	180165
аў	178104
_к	174893
ма	174460
_в	173972
дз	173850
_м	173167
кі	171943
ст	169264
не	167570
_на	167222
ры	167166
_г	163851
_і	160402
_т	157655
ж	156056
ю	153771
га	153279
ні	152864
ны	152179
ць_	148704
_ў	148270
ац	147631
_пр	146608
за	143883
о_	139710
ак	138865
то	138649
ьн	136683
м_	133281
на_	132802
ль	131821
_я	126466
й_	126433
ты	126340
пра	125995
сь	123708
аг	120791
вы	120614
ск	118158
ай	115137
_р	112662
ня	112245
ін	108495
ат	105833
х_	105019
аб	103579
мі	102742
ча	102530
са	100346
ле	100260
ё	100163
аз	99924
_ка	99219
ыя	99213
ым	98801
_і_	98258
_у	97838
ру	95570
ля	95281
чы	93125
ус	91727
_ш	91404
_за	91403
рэ	90678
ава	90448
ел	90253
эт	89815
цы	89602
ца	88792
як	86950
ве	85208
зе	84933
не_	84715
нь	84469
алі	83500
ро	83094
то_	82005
ае	81980
_не	80753
шт	80495
дзе	79669
_ў_	79567
тр	78987
ку	78839
ік	78114
ся	77732
лі_	75981
ен	75795
од	75731
ста	75608
_ад	74481
ньн	74445
ай_	74198
ер	74048
бе	73570
ві	73491
ба	72900
гэ	72488
кі_	72471
гэт	72072
_да	72021
ьц	71458
оў	71278
к_	71270
што	70585
го	70424
_вы	70032
эн	69749
ту	69266
ап	68524
іц	68369
_шт	67983
ол	67877
ага	67772
_л	67648
аў_	67226
_ра	67210
ці	66971
ко	66606
а_п	66575
ды	65664
з_	64886
га_	64358
іс	63978
зь	63316
ая	63182
ых	63096
ме	62691
ыя_	62378
сьц	61831
_гэ	61723
цц	61611
_як	61411
аць	60867
цца	60523
бы	59578
ов	59525
ўн	58832
пе	57742
ела	57531
ару	57510
_та	57262
ны_	57000
та_	56631
бел	56162
_бе	55916
рус	55881
во	55612
ян	55230
_у_	55193
зі	55188
эта	54949
ын	54895
ю_	54889
ф	54759
ня_	54159
ач	54124
дн	53461
мо	52541
лар	52498
_ч	51477
ска	51404
кр	51324
ім	50645
пад	50451
ца_	50160
сп	50029
пры	49794
ара	49762
_ма	49484
а_н	49481
іл	49410
ась	49261
сі	49047
жа	48889
вя	48712
і_п	47939
бо	47731
ду	47306
нт	47081
ўс	47008
а_с	46986
ых_	46726
_з_	46540
рад	46477
ыц	45941
ада	45923
ала	45778
ор	45598
”	45467
ія	45307
ым_	45271
уд	45211
но	45084
су	44945
іх	44774
эр	44613
ык	44537
аш	44525
ае_	44474
ая_	44413
льн	44256
ам_	44146
му	44080
ну	43836
адз	43663
ах	43512
“	43300
ыл	43013
дзі	42980
пер	42464
але	42411
_са	42135
ло	42002
нік	41942
оль	41908
_бы	41824
_ст	41602
так	41542
аю	41348
д_	41241
ей	40824
а_ў	40774
аль	40596
ец	40561
і_н	40457
яр	40310
іч	40297
ул	40123
чн	40056
_ц	39880
раз	39806
т_	39626
тэ	39504
_га	39336
кал	39156
_ня	38866
нс	38491
_“	38382
_дз	38315
бу	38017
шы	38000
рац	37957
ань	37898
ама	37883
ьня	37709
ана	37264
іх_	36669
се	36571
ша	36318
а_з	36087
іт	35787
н_	35732
ці_	35542
нас	35501
ха	35407
тв	35392
ера	35211
рас	35183
нк	35173
най	35137
ую	35130
ён	35120
ыт	35081
ся_	35023
кан	34951
мі_	34947
ьні	34947
е_п	34885
ацы	34850
іка	34752
я_п	34635
кам	34488
ыс	34464
_ча	34412
до	34363
_ж	34199
тар	34120
да_	33988
лад	33979
зя	33767
амі	33667
ур	33513
мы	33504
ва_	33357
зн	33059
а_а	32858
ра_	32721
_зь	32703
юц	32599
ед	32581
_х	32562
ныя	32481
он	32454
скі	32408
ла_	32380
яг	32140
ія_	31946
дэ	31846
ця	31644
ьне	31610
рав	31579
а_б	31553
аст	31534
св	31451
лю	31272
це	31072
ьці	30917
р_	30835
ван	30801
ыі	30791
рам	30718
ьв	30585
_то	30459
раў	30336
_пе	30318
вал	30265
кл	30115
ары	30074
гі	29988
аве	29817
які	29582
ля_	29323
тра	29216
зе_	29187
ад_	29059
кт	29014
дзя	28987
ук	28980
лу	28938
і_ў	28922
гр	28905
ка_	28865
ос	28806
а_в	28775
шч	28751
_мо	28743
_ва	28725
_су	28694
_аб	28689
мя	28571
по	28550
ой	28547
а_т	28541
ле_	28492
сам	28148
ьк	27963
ыв	27857
жы	27834
нав	27708
кра	27671
был	27636
хо	27602
_сп	27602
ы_п	27599
яд	27573
ных	27548
ыць	27294
ум	27286
_св	27279
іць	27267
як_	27169
буд	27118
ем	27118
ыч	27043
там	27012
і_с	26898
б_	26894
ні_	26771
сва	26709
ог	26659
бі	26657
ую_	26370
уп	26364
яц	26356
ку_	26243
_кр	26212
_ме	26202
ес	26052
гу	25978
і_з	25921
за_	25863
кія	25830
а_д	25806
пі	25756
іст	25622
_бу	25559
нд	25495
цыя	25450
а_г	25094
вац	25050
яў	25015
і_а	24849
таў	24844
ек	24824
_э	24801
а_к	24791
аі	24791
аро	24764
ял	24763
пав	24726
